"","State","Well","Distance.from.Source","Easting","Northing","Lon","Lat"
"1","Source Well","MW-02-008",0,721954.3,1700606.74,-73.6337856506167,43.4978960667807
"2","Down Gradient","MW-02-020",955.795481325356,722799.020496894,1701053.94496894,-73.6305846999469,43.4990987569706
"3","Down Gradient","46PLTW8",1061.36692488416,722948.088819876,1700979.41080745,-73.6300258579567,43.4988900084943
"4","Down Gradient","MW-02-039",2085.77310427978,723991.567080745,1701053.94496894,-73.6260904794828,43.4990644940159
"5","Down Gradient","34PLTW12",2526.9047237156,724103.368322981,1701935.93254658,-73.6256342278795,43.5014808934308
"6","Down Gradient","MW-02-042",2694.53564763781,724351.81552795,1701836.5536646,-73.6247018346668,43.5012010958434
"7","Down Gradient","MW-02-023",3476.68553500661,724873.554658385,1702494.93875776,-73.6227093919455,43.5029922194806
"8","Down Gradient","MW-02-083",3783.70801496357,725357.25,1698952.54,-73.6210274175131,43.4932601057931
"9","Down Gradient","MW-02-043",3904.83216138116,724935.666459627,1703128.47913043,-73.6224501260416,43.5047284578342
"10","Down Gradient","63PLTW20",4711.11379239558,726107.25,1698382.42,-73.6182240102716,43.4916742936318
"11","Down Gradient","69PLTW21",4959.01181244167,725917.032919255,1703588.10645963,-73.6187330767521,43.5059609347192
"12","Down Gradient","MW-02-048",5099.95003648064,726525.728571429,1702867.60956522,-73.6164677282112,43.5039666434337
"13","Down Gradient","MW-11-005",7059.27878190425,728637.529813665,1702880.03192547,-73.6085081075132,43.5039389398263
"14","Down Gradient","MW-2612-11",7155.47359985193,728476.039130435,1703550.83937888,-73.6090896805446,43.5057839490955
"15","Down Gradient","MW-2612-10",7495.91403944552,728799.020496894,1703662.64062112,-73.607867850542,43.5060811677134
"16","Down Gradient","MW-11-008",6400.99936782518,728083.45,1698761.12,-73.6107622179509,43.4926555347376
"17","Down Gradient","MW-11-010",6910.95651936104,728596.59,1698698.52,-73.6088311434378,43.492468745346
"18","Down Gradient","MW-11-001",7286.87378623364,728823.97,1698176.48,-73.6079954187713,43.4910299183267
"19","Down Gradient","MW-GWOU-15",2218.77980466736,724093.6,1700018.2,-73.6257469584898,43.4962201184974
"20","Down Gradient","MW-GWOU-13",3107.65266746465,724550.8,1698899.2,-73.6240684168543,43.4931370956669
