Monitoring Wells,Latitude,Longitude,Well Grouping,,,,,,,
MW-1,29.7317,-95.4126,Plume,,,,,,,
MW-2,29.73297,-95.41398,Downgradient,,,,,,,
MW-3,29.73308,-95.41302,Plume,,,,,,,
MW-4,29.73268,-95.41181,Plume,,,,,,,
MW-5,29.73373,-95.41224,Plume,,,,,,,
MW-6,29.73325,-95.41139,Downgradient,,,,,,,
MW-7,29.73399,-95.41093,Plume,,,,,,,
MW-8,29.73269,-95.41318,Downgradient,,,,,,,
MW-9,29.73256,-95.41235,Downgradient,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
